rating,title,date,location
Missing context, Politician Söder shown at various vaccine appointments – vague relation to covid-19 is being suggested.,2021/10/02 , Germany
FALSO," Children are 50 times more likely to die from the Covid-19 vaccine than from the virus, according to Mike Yeadon.",2021/08/11 , Spain
FALSE," The CDC reports the deaths of two children and another 4,178 Americans from the COVID-19 vaccine.",2021/08/09 ," Ukraine, United States"
FALSE, COVID-19 vaccines “fight the virus wrong and let the virus become worse than it would with native infection.”,2021/08/08 , United States
FALSO, Pfizer vaccines can cause baldness and sexual impotence.,2021/08/04 , Colombia
FALSO, A young man “of gypsy ethnicity” dies of a pulmonary thrombus after receiving the second dose of the vaccine against COVID-19 in Granada,2021/08/04 , Spain
FALSO," In Córdoba, a “voluntary tattoo” is made with a QR code to record personal data or vaccines.",2021/08/02 , Spain
FALSO, Vaccines have graphene oxide as a component.,2021/08/02 , Colombia
FALSO, Risks of COVID-19 vaccines for children.,2021/08/02 , Spain
FALSO," Jovenel Moîse, the president of Haiti, was murder for be against vaccines.",2021/07/31 , Colombia
FALSO, People who received the COVID-19 vaccines lost their human rights. They are patents of pharmaceutical companies.,2021/07/30 , Colombia
FALSO, Vaccines do not protect against delta variant.,2021/07/30 , Colombia
FALSO, AstraZeneca vaccine box photo dated 2018,2021/07/30 , Spain
FALSO, Pfizer’s vaccine can cause sexual impotence and baldness,2021/07/30 , Spain
FALSE," COVID-19 vaccines contain graphene, a substance that produce clots in the brain",2021/07/28 , Colombia
FALSO, Vaccines are a genetic therapy and can change DNA.,2021/07/28 , Colombia
FALSO, Covid vaccines have graphene oxide as a component.,2021/07/28 , Colombia
FALSE," Vaccines are more dangerous than a disease caused by a virus. Since the spring of 2021, 10,000 people vaccinated with Pfizer and AstraZeneca in Europe alone have died and the death toll continues to rise.",2021/07/28 , Georgia
FALSE," 45,000 people died of receiving vaccine within 3 days and the fact is hidden.",2021/07/27 ," Georgia, United States"
NO EVIDENCE, The Pfizer-BioNTech vaccine causes autoimmune disease.,2021/07/27 , Ukraine
FALSE," Vaccines are ineffective. Mortality rates have risen in the UK since vaccination. Haiti was the only country where vaccination did not begin and its president was assassinated. Tests will not detect the virus, its creator said. Masks do not protect against infection, this was confirmed by the published correspondence of Fauci.",2021/07/26 ," Georgia, United Kingdom, United States, Haiti"
NO EVIDENCE, A veterinarian’s wife died within minutes of the second dose of the vaccine.,2021/07/25 , Georgia
FALSE, Canada prohibits all pilots who received COVID-19 vaccines from flying.,2021/07/24 , United States
FALSE, The false or unproven claims about COVID-19 vaccines in the letter addressed to the president of the Valencia College of Physicians,2021/07/23 , Spain
FALSE, A video of a kind having a seizure circulates along with a claim that says Canada makes experimental vaccines mandatory for children.,2021/07/20 ," Taiwan, Canada"
FALSE, Patent application for Chinese COVID-19 vaccine demonstrates vaccines with graphene oxide,2021/07/20 ," Spain, China"
FALSE, Three pictures claim to be demonstrations across more than 50 countries on July 24 2021 to protest against vaccine mandate and fake pandemic data.,2021/07/20 , Taiwan
FALSE," Vaccines alter the human genome, make people “humanoids” and deprive them of their human rights",2021/07/20 , Turkey
FALSO," No, there is no evidence that these presidents were “killed” or “murdered” for rejecting COVID-19 vaccines",2021/07/20 , Spain
Misleading, Antibody tests are effective in assessing vaccines efficacy,2021/07/19 , Brazil
FALSE, Poster with false claims about the effects of COVID-19 vaccines in children,2021/07/19 , Spain
FALSE, Photo shows people protesting against “vaccine tyranny” in France.,2021/07/19 , United States
out of context, 60% of people hospitalized in the UK had both doses of COVID-19 vaccines,2021/07/19 , Mexico
FALSO," No, this photo is not from a demonstration in France against “the tyranny of vaccines and the new world order”: it is from 2018, when the French team won the Soccer World Cup",2021/07/19 , Spain
FALSE, Photo shows millions protesting COVID-19 vaccines.,2021/07/18 , United States
FALSE, Photo shows millions protesting COVID-19 vaccines.,2021/07/18 , United States
FALSE, Drinking coffee or tea after vaccination works has an adverse effect on your body to assimilate vaccine.,2021/07/17 , Taiwan
FALSE, Five JetBlue pilots died from the COVID-19 vaccine.,2021/07/17 , United States
FALSO, The protein S generated by COVID-19 vaccines is toxic and damages many tissues in our body,2021/07/16 , Spain
FALSE, Says Joe Biden and Kamala Harris distrusted COVID-19 vaccines.,2021/07/16 , United States
FALSE, Vaccines are not a panacea as evidenced by: The UK ranking first in infection in Europe when 90% of the population is vaccinated; Vaccines not being able to cure Delta strain and it is better to develop herd immunity; The England team participating in the Tokyo Olympics refusing to be vaccinated.,2021/07/16 ," Georgia, United Kingdom"
FALSE," Vaccine-induced mortality in children is 50 times higher than that of COVID-19. The number of vaccine deaths in the first half of 2021 exceeds 5,000, although the vaccine tests on children is still ongoing.",2021/07/15 , Georgia
F AUX," A study claimed that for every three deaths avoided by the vaccine, there were two deaths because of the vaccine.",2021/07/15 ," Canada, France"
PARTLY FALSE, Even those who have the second dose of vaccine die from the Covid-19.,2021/07/14 , Turkey
FALSO," SARS-CoV-2 is graphene, vaccines carry graphene and 5G will kill tens of thousands of Spaniards",2021/07/14 , Spain
FALSE, The Israel Ministry of Health announced that the Covid-19 vaccines are ineffective against the delta variant.,2021/07/14 ," Turkey, Israel"
FALSE, Those who contacted with vaccineted ones are also exposed to the vaccine.,2021/07/14 , Turkey
FALSE, COVID-19 vaccines contain HIV and luciferin – a statement by Dr Carey Madey.,2021/07/14 , Ukraine
FALSO, Those who receive messenger RNA vaccines lose their human rights and become “patents”,2021/07/13 , Spain
FALSO, This video shows the autopsy of the brain of a person who was injected with graphene with the COVID-19 vaccine,2021/07/13 ," Spain, Mexico"
FALSE," A trial against a WHO expert has begun in India, who has been hiding the positive effects of the coronavirus treatment drug in order to continue lobbying for vaccines. WHO scientist Soumya Swaminathan is accused of misleading citizens about the drug Ivermectin.",2021/07/12 ," Georgia, India"
FALSE," Those parents who will give their children to the experiment with vaccines conducted by these chronic liars, globalist runners and traitors to their own people do not even deserve to have children. Biological warfare is being waged against humanity!",2021/07/12 , North Macedonia
FALSE, The Pfizer-BioNTech COVID-19 vaccine contains graphene oxide.,2021/07/12 , United States
